Country,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FEDERATED STATES OF MICRONESIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGIN ISLANDS,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,(blank)
AFGHANISTAN,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,
ALBANIA,,,,,4,,2,,,,,,,,,,,,,1,,,,2,1,,,,,,,,1,,5,2,,1,2,,1,,,,,,1,,,,,2,,,,
ALGERIA,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,1,,2,3,24,2,2,,4,,55,7,,,,4,2,1,1,2,2,1,9,7,4,2,,3,,2,1,1,9,1,28,4,,3,2,,12,,,3,,4,17,1,,,3,8,,4,,
ARMENIA,,1,,,12,,,,1,,1,,,,,1,,1,,,,,,1,,,,,,,,,1,,2,,,,,,1,,,,,,2,,,,1,7,,,,
AUSTRALIA,2,,6,,83,6,1,1,1,,6,4,1,,,7,,3,,1,,,2,6,5,2,,4,,,2,1,9,,33,1,,3,2,,9,,,2,,1,16,2,,,3,56,,2,,1
AUSTRIA,1,,1,,8,,,1,,,5,4,,,1,2,,,,,,,,2,2,,,,,1,,,,,7,3,,1,,,1,,,,,,4,,,,,2,,,,
AZERBAIJAN,,,1,,2,,,2,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,4,,,,1,,,,,
BAHAMAS,,,,,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,3,,,,1,,,,,,1,,2,,,,,,,,,
BAHRAIN,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,4,,1,,26,,3,1,2,,2,7,,,1,7,1,2,,,1,,6,5,4,9,,,,,,1,9,,23,1,1,1,,1,7,,,1,,1,37,,1,,9,7,2,1,,
BARBADOS,,,,,4,,2,,,,1,1,,,,1,,,,,,,1,,,,,,,,1,,,,5,2,,,,,1,,,,,,,,,,1,3,,,,
BELARUS,,,,1,15,,1,1,2,,2,2,,,,1,,,,,,,,2,,1,,1,,,,,,,2,,,,,,9,,,,,,2,,,,,7,,,,
